band,openalex_id,doi,title,publication_year,author_names,venue_name,is_oa
earlier (up to 2024),https://openalex.org/W2736415539,https://doi.org/10.3732/ajb.1700091,"Anatolian origins and diversification of <i>Aethionema</i>, the sister lineage of the core Brassicaceae",2017,Setareh Mohammadin; Kim Peterse; Sara J. van de Kerke; Lars W. Chatrou; Alı A. Dönmez; Klaus Mummenhoff; J. Chris Pires; Patrick P. Edger; Ihsan A. Al‐Shehbaz; M. Eric Schranz,American Journal of Botany,True
earlier (up to 2024),https://openalex.org/W3217003056,https://doi.org/10.1111/1755-0998.13555,A rodent anchored hybrid enrichment probe set for a range of phylogenetic utility: From order to species,2021,Max R. Bangs; Scott J. Steppan,Molecular Ecology Resources,True
earlier (up to 2024),https://openalex.org/W4200259907,https://doi.org/10.7287/peerj.11954v0.1/reviews/2,"Peer Review #2 of ""The importance of molecular characters when morphological variability hinders diagnosability: systematics of the moon jellyfish genus Aurelia (Cnidaria: Scyphozoa) (v0.1)""",2021,,,True
earlier (up to 2024),https://openalex.org/W3019172384,https://doi.org/10.1371/journal.pone.0225233,"The complete mitochondrial genome of the endangered Assam Roofed Turtle, Pangshura sylhetensis (Testudines: Geoemydidae): Genomic features and phylogeny",2020,Shantanu Kundu; Vikas Kumar; Kaomud Tyagi; Kailash Chandra,PLoS ONE,True
earlier (up to 2024),https://openalex.org/W4300962691,https://doi.org/10.7287/peerj.13884v0.2/reviews/2,"Peer Review #2 of ""A phylogenetic analysis of Bromus (Poaceae: Pooideae: Bromeae) based on nuclear ribosomal and plastid data, with a focus on Bromus sect. Bromus (v0.2)""",2022,C Acedo,,True
earlier (up to 2024),https://openalex.org/W2762983254,https://doi.org/10.1080/00222933.2017.1380241,Phylogenetic relationships of millipedes in the subclass Penicillata (Diplopoda) with a key to the genera,2017,Megan Short; Varpu Vahtera,Journal of Natural History,True
earlier (up to 2024),https://openalex.org/W3049145638,https://doi.org/10.1186/s13071-020-04281-1,Assessing the diversity and distribution of potential intermediate hosts snails for urogenital schistosomiasis: Bulinus spp. (Gastropoda: Planorbidae) of Lake Victoria,2020,Fred D. Chibwana; Immaculate Tumwebaze; Anna Mahulu; Arthur F. Sands; Christian Albrecht,Parasites & Vectors,True
earlier (up to 2024),https://openalex.org/W4307751769,https://doi.org/10.1093/nsr/nwac241,Conservation priorities for global marine biodiversity across multiple dimensions,2022,Huizhong Fan; Mingpan Huang; Youhua Chen; Wenliang Zhou; Yibo Hu; Fuwen Wei,National Science Review,True
earlier (up to 2024),https://openalex.org/W4312226578,https://doi.org/10.17776/csj.1195087,"The Complete Mitogenome of Redheaded Pine Sawfly, Neodiprion lecontei (Hymenoptera: Diprionidae): Duplication of trnR Gene and Rearrangement in the ARNS1EF Gene Cluster",2022,Ertan Mahir Korkmaz,Cumhuriyet Science Journal,True
earlier (up to 2024),https://openalex.org/W2621056266,https://doi.org/10.1016/j.aspen.2017.05.010,Genomic and phylogenetic analysis of the complete mitochondrial DNA sequence of walnut leaf pest Paleosepharia posticata (Coleoptera: Chrysomeloidea),2017,Qiqi Wang; Guanghui Tang,Journal of Asia-Pacific Entomology,False
